# id	pattern hex	text hex	start	end	anchor	encoding	posix	longest	literal	never newline	dot newline	never capture	case sensitive	perl classes	word boundary	one line	groups
full_class_empty_word_latin1_never1_dot0	61285b5e5c775c575d2962	610a62	0	3	both	latin1	false	false	false	true	false	false	true	false	false	false	2
full_class_empty_word_latin1_never1_dot1	61285b5e5c775c575d2962	610a62	0	3	both	latin1	false	false	false	true	true	false	true	false	false	false	2
full_class_dot_utf8_never0_dot0	61282e2962	610a62	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_dot_utf8_never0_dot1	61282e2962	610a62	0	3	both	utf8	false	false	false	false	true	false	true	false	false	false	2
full_class_dot_utf8_never1_dot0	61282e2962	610a62	0	3	both	utf8	false	false	false	true	false	false	true	false	false	false	2
full_class_dot_utf8_never1_dot1	61282e2962	610a62	0	3	both	utf8	false	false	false	true	true	false	true	false	false	false	2
full_class_dot_latin1_never0_dot0	61282e2962	610a62	0	3	both	latin1	false	false	false	false	false	false	true	false	false	false	2
full_class_dot_latin1_never0_dot1	61282e2962	610a62	0	3	both	latin1	false	false	false	false	true	false	true	false	false	false	2
full_class_dot_latin1_never1_dot0	61282e2962	610a62	0	3	both	latin1	false	false	false	true	false	false	true	false	false	false	2
full_class_dot_latin1_never1_dot1	61282e2962	610a62	0	3	both	latin1	false	false	false	true	true	false	true	false	false	false	2
full_class_nul	61285b5c735c535d2962	610062	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_two_byte	61285b5c735c535d2962	61c3a962	0	4	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_four_byte	61285b5c735c535d2962	61f09f92b062	0	6	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_invalid	61285b5c735c535d2962	61ff62	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_latin1_invalid	61285b5c735c535d2962	61ff62	0	3	both	latin1	false	false	false	false	false	false	true	false	false	false	2
full_class_scoped_dot_off	6128283f2d733a2e292962	610a62	0	3	both	utf8	false	false	false	false	true	false	true	false	false	false	2
